,Measured Temp (C),Profile
0,20.0,30
1,20.0,30
2,20.0,30
3,20.0,30
4,21.0,30
5,20.0,30
6,20.0,30
7,21.0,30
8,20.0,30
9,20.0,30
10,20.0,30
11,20.0,30
12,20.0,30
13,21.0,30
14,20.0,30
15,20.0,30
16,20.0,30
17,20.0,30
18,20.0,30
19,20.0,30
20,20.0,30
21,20.0,30
22,21.0,30
23,20.0,30
24,20.0,30
25,20.0,30
26,20.0,30
27,20.0,30
28,20.0,30
29,21.0,30
30,20.0,30
31,21.0,30
32,20.0,30
33,20.0,30
34,20.0,30
35,20.0,30
36,21.0,30
37,20.0,30
38,21.0,30
39,20.0,30
40,20.0,30
41,20.0,30
42,20.0,30
43,20.0,30
44,20.0,30
45,21.0,30
46,20.0,30
47,20.0,30
48,20.0,30
49,21.0,30
50,20.0,30
51,20.0,30
52,20.0,30
53,20.0,30
54,19.0,30
55,20.0,30
56,20.0,30
57,20.0,30
58,21.0,30
59,21.0,30
60,20.0,30
61,20.0,30
62,20.0,30
63,21.0,30
64,20.0,30
65,20.0,30
66,20.0,30
67,20.0,30
68,21.0,30
69,20.0,30
70,20.0,30
71,20.0,30
72,20.0,30
73,20.0,30
74,20.0,30
75,20.0,30
76,20.0,30
77,21.0,30
78,20.0,30
79,20.0,30
80,20.0,30
81,20.0,30
82,20.0,30
83,20.0,30
84,20.0,30
85,20.0,30
86,20.0,30
87,20.0,30
88,20.0,30
89,20.0,30
90,21.0,30
91,20.0,30
92,21.0,30
93,21.0,30
94,21.0,30
95,20.0,30
96,20.0,30
97,20.0,30
98,20.0,30
99,20.0,30
